item,name,group,party,district,constituency,startdate,enddate,psid
Q2962814,Cheryl Gallant,Q488523,Conservative Party of Canada,Q3425442,Renfrew—Nipissing—Pembroke,,,Q2962814-98C9AB6A-573F-4DE1-98DD-BDEA2DB13C83
Q2964888,Chris Warkentin,Q488523,Conservative Party of Canada,Q16982509,Grande Prairie—Mackenzie,,,Q2964888-824E8DD6-1C7E-4CB5-B577-B32526A369B0
Q2977252,Claude DeBellefeuille,Q735105,Bloc Québécois,Q16999438,Salaberry—Suroît,,,Q2977252-40B74727-5B19-4B39-A5B2-61F52F097E3C
Q2982579,Colin Carrie,Q488523,Conservative Party of Canada,Q3357223,Oshawa,,,Q2982579-0DD35E61-47D8-413B-A112-7F83D93BD95C
Q3013003,Dan Albas,Q488523,Conservative Party of Canada,Q16858686,Central Okanagan—Similkameen—Nicola,,,Q3013003-67C72E4D-00DA-4D3A-824F-013C1105202D
Q3017193,Dave MacKenzie,Q488523,Conservative Party of Canada,Q3359048,Oxford,,,Q3017193-D547D04B-11B4-46D9-9E99-9955413E9FFA
Q3018407,David McGuinty,Q138345,Liberal Party of Canada,Q3357747,Ottawa South,,,Q3018407-B03AF574-848B-4DAA-A7A0-114B462B1ED0
Q3018841,David Sweet,Q488523,Conservative Party of Canada,Q16978840,Flamborough—Glanbrook,,,Q3018841-EA2313D6-CF08-472A-A25B-928E77085F57
Q3020613,Dean Allison,Q488523,Conservative Party of Canada,Q16977205,Niagara West,,,Q3020613-F968A9E2-FAE4-43ED-A846-69EA8623C1B4
Q3022947,Denis Trudel,Q735105,Bloc Québécois,Q21027519,Longueuil—Saint-Hubert,2019-10-21,,Q3022947-0637ab25-4f11-b304-b1df-8e6633f04454
Q3026209,Diane Finley,Q488523,Conservative Party of Canada,Q5641291,Haldimand—Norfolk,,2021-05-20,Q3026209-897B6F3F-ACEA-48A6-9926-6EDB29F6AFCA
Q30302772,Simon-Pierre Savard-Tremblay,Q735105,Bloc Québécois,Q3462434,Saint-Hyacinthe—Bagot,2019-10-21,,Q30302772-af82b461-4f91-7634-6825-bdc17ea5375d
Q3034854,Dominic LeBlanc,Q138345,Liberal Party of Canada,Q2893293,Beauséjour,,,Q3034854-CC44F3D7-B0B0-4B9F-A8C9-EF690FB1CA55
Q3035763,Don Davies,Q130765,New Democratic Party,Q3554467,Vancouver Kingsway,,,Q3035763-500F494A-D3CF-4BCB-8DB2-8DD7B311E201
Q3046379,Earl Dreeshen,Q488523,Conservative Party of Canada,Q16999879,Red Deer—Mountain View,,,Q3046379-4823B2E2-C9DE-4FDE-901D-56560E7D9BAF
Q3047171,Ed Fast,Q488523,Conservative Party of Canada,Q2820842,Abbotsford,,,Q3047171-D4CF9205-3124-4CBA-BC5D-724D6AC3277B
Q3052684,Emmanuel Dubourg,Q138345,Liberal Party of Canada,Q2922232,Bourassa,,,Q3052684-D6229BAF-651B-4CAB-80AC-1D6C3D8D59E2
Q3099714,Justin Trudeau,Q138345,Liberal Party of Canada,Q3362910,Papineau,,,Q3099714-E98CC68A-900C-4129-B727-DFB0EF4A4B9E
Q3101057,Geoff Regan,Q138345,Liberal Party of Canada,Q3125968,Halifax West,,,Q3101057-1821DD8F-7543-4D47-8FD0-C09E73C3E2EC
Q3123899,Gérard Deltell,Q488523,Conservative Party of Canada,Q3260876,Louis-Saint-Laurent,,,Q3123899-765BE19E-4771-46F4-B3DF-47637164C872
Q3129348,Hedy Fry,Q138345,Liberal Party of Canada,Q3554460,Vancouver Centre,,,Q3129348-BCEF427E-422A-4CAB-A02C-419B2B6D5E6C
Q3160939,James Bezan,Q488523,Conservative Party of Canada,Q16978916,Selkirk—Interlake—Eastman,,,Q3160939-455F41BF-4D07-4FD6-98F1-55F0903218DD
Q3182063,John McKay,Q138345,Liberal Party of Canada,Q3475168,Scarborough—Guildwood,,,Q3182063-598FB2AA-BAA3-4149-8ADB-39243E476390
Q3187235,Joyce Murray,Q138345,Liberal Party of Canada,Q3554466,Vancouver Quadra,,,Q3187235-5E14418E-3C3A-4656-BB88-E29333F71F2F
Q3188045,Judy Sgro,Q138345,Liberal Party of Canada,Q3572594,Humber River—Black Creek,,,Q3188045-DDF77314-6720-4EC2-A681-CCDE97F223EF
Q3195494,Kerry-Lynne Findlay,Q488523,Conservative Party of Canada,Q16999811,South Surrey—White Rock,,,Q3195494-B104268F-CFF1-4AD2-8BD5-7F175E6F2DF3
Q3195738,Kevin Lamoureux,Q138345,Liberal Party of Canada,Q3569367,Winnipeg North,,,Q3195738-13D363D0-A7F7-4B95-9294-7B14FD6EBFC4
Q3197422,Kirsty Duncan,Q138345,Liberal Party of Canada,Q3059355,Etobicoke North,,,Q3197422-F87CCED1-DF04-41F5-B9AF-FCDB4C211D62
Q3218024,Larry Bagnell,Q138345,Liberal Party of Canada,Q3573173,Yukon,,,Q3218024-FFB970D0-2C0F-45B8-8091-CDFCA12BC08B
Q3219913,Lawrence MacAulay,Q138345,Liberal Party of Canada,Q2938039,Cardigan,,,Q3219913-19A0E2F0-1258-4472-B50E-F9E14A325D5B
Q3262931,Louis Plamondon,Q735105,Bloc Québécois,Q2886296,Bécancour—Nicolet—Saurel,,,Q3262931-3D495943-A47F-44C7-923E-B88ECE551A97
Q3263709,Louise Chabot,Q735105,Bloc Québécois,Q16842973,Thérèse-De Blainville,2019-10-21,,Q3263709-3b5842fe-4bc9-e6d3-c01b-bb3660c54d20
Q3294109,Mark Holland,Q138345,Liberal Party of Canada,Q16960528,Ajax,,,Q3294109-AA4E1929-0F89-4B10-9451-6817C4F93CF7
Q3308109,Michael Chong,Q488523,Conservative Party of Canada,Q3567185,Wellington—Halton Hills,2019-10-21,,Q3308109-6a0f3bd6-42d6-6196-f3cb-e603c981c3bd
Q3311457,Michelle Rempel Garner,Q488523,Conservative Party of Canada,Q2933912,Calgary Nose Hill,,,Q3311457-B771D951-60AA-4624-A957-C59987310210
Q3313399,Mike Lake,Q488523,Conservative Party of Canada,Q16966798,Edmonton—Wetaskiwin,,,Q3313399-72C172F2-2F7D-4387-AE64-70EC33D9A992
Q3337237,Navdeep Bains,Q138345,Liberal Party of Canada,Q16977742,Mississauga—Malton,,,Q3337237-5D314E5A-E1F7-4EB0-918A-EED6140D0B09
Q3341504,Niki Ashton,Q130765,New Democratic Party,Q16958326,Churchill—Keewatinook Aski,,,Q3341504-68EB8DD4-95E2-4B20-AD30-6F3A2F17E160
Q3351821,Omar Alghabra,Q138345,Liberal Party of Canada,Q975611,Mississauga Centre,,,Q3351821-FB0BEA95-A009-4D63-A043-3D6B84E355F2
Q3359999,Pablo Rodríguez,Q138345,Liberal Party of Canada,Q3140203,Honoré-Mercier,,,Q3359999-2A4084F1-A424-401D-9BE1-0B925D269760
Q3376681,Peter Julian,Q130765,New Democratic Party,Q681292,New Westminster—Burnaby,,,Q3376681-E2DA1E67-EAC7-4B20-AFEE-AA9E1FEDD3A0
Q3376692,Peter Kent,Q488523,Conservative Party of Canada,Q3525846,Thornhill,,,Q3376692-232A4A8E-009D-4F45-99EB-4C2A1AF151F7
Q3386636,Pierre Poilievre,Q488523,Conservative Party of Canada,Q2939078,Carleton,,,Q3386636-DBD1BCD9-55DD-4834-9BAE-B58CD9419C27
Q3418804,Randall Garrison,Q130765,New Democratic Party,Q17092809,Esquimalt—Saanich—Sooke,,,Q3418804-814F6607-EF14-4F0C-BB74-DBBF5B257FA1
Q3434216,Rob Moore,Q488523,Conservative Party of Canada,Q267073,Fundy Royal,,,Q3434216-97F09107-9BE5-4ECA-9B56-10818985F103
Q3476240,Scott Reid,Q488523,Conservative Party of Canada,Q16976721,Lanark—Frontenac—Kingston,,,Q3476240-6FD2C599-49BA-482A-9967-062EFB74C792
Q3476307,Scott Simms,Q138345,Liberal Party of Canada,Q16949517,Coast of Bays—Central—Notre Dame,,,Q3476307-52DE3301-BA1E-4D3B-B60F-241DF345D1C6
Q3476701,Sean Casey,Q138345,Liberal Party of Canada,Q2961057,Charlottetown,,,Q3476701-C5530B62-40C4-4891-BF82-D3EB65E50061
Q3499230,Steven Guilbeault,Q138345,Liberal Party of Canada,Q3219676,Laurier—Sainte-Marie,2019-10-21,,Q3499230-92d1401c-4944-1994-e2c6-c57ee13f4eab
Q3501591,Stéphane Bergeron,Q735105,Bloc Québécois,Q16977815,Montarville,,,Q3501591-057600CC-414D-4610-B88F-04B1A5151E3A
Q3503377,Sukh Dhaliwal,Q138345,Liberal Party of Canada,Q16979255,Surrey—Newton,,,Q3503377-2B1D1D1A-F658-4183-A78F-EBC87282D06A
Q3528703,Tim Uppal,Q488523,Conservative Party of Canada,Q16974434,Edmonton Mill Woods,2019-10-21,,Q3528703-3d9d950e-4c45-36fb-3eed-57175c33b5e5
Q3530781,Tom Lukiwski,Q488523,Conservative Party of Canada,Q17037560,Moose Jaw—Lake Centre—Lanigan,,,Q3530781-F8E5417D-01D7-41C4-8613-16D1F3093894
Q3566825,Wayne Easter,Q138345,Liberal Party of Canada,Q513772,Malpeque,,,Q3566825-6281C5F8-6004-42F1-BEBB-EC407676ED24
Q3571913,Yasmin Ratansi,Q138345,Liberal Party of Canada,Q3035922,Don Valley East,,2020-11-09,Q3571913-C5337D76-898F-4185-BEA7-F5C37C66C6FB
Q3571913,Yasmin Ratansi,Q327591,independent politician,Q3035922,Don Valley East,2020-11-09,,Q3571913-04B139AD-995E-4877-B82F-A46190D4FD93
Q3573412,Yves-François Blanchet,Q735105,Bloc Québécois,Q16840121,Belœil—Chambly,2019-10-21,,Q3573412-40ffa787-4193-7dde-04ab-730801d7ce2d
Q42308688,Dane Lloyd,Q488523,Conservative Party of Canada,Q16977239,Sturgeon River—Parkland,,,Q42308688-2ADF50DF-78E0-4C77-A511-7E936F430701
Q42666524,Rosemarie Falk,Q488523,Conservative Party of Canada,Q2891841,Battlefords—Lloydminster,,,Q42666524-1545E604-94FB-4730-A0B2-7A2FC80729F5
Q4355859,Lenore Zann,Q138345,Liberal Party of Canada,Q3007524,Cumberland—Colchester,,,Q4355859-0E228663-013C-4940-B9D7-B1F114A37967
Q445620,Elizabeth May,Q691730,Green Party of Canada,Q3460439,Saanich—Gulf Islands,,,Q445620-3603B395-14FB-4001-8597-422F6D047AEC
Q4492815,Chrystia Freeland,Q138345,Liberal Party of Canada,Q16977089,University—Rosedale,2015-10-19,,Q4492815-AFAD7A69-720F-4B4F-88FD-03DD3082C5D3
Q45311068,Churence Rogers,Q138345,Liberal Party of Canada,Q16844235,Bonavista—Burin—Trinity,,,Q45311068-48062D00-B78B-4B84-B805-C74FC1B354C1
Q45311888,Jean Yip,Q138345,Liberal Party of Canada,Q3475169,Scarborough—Agincourt,,,Q45311888-2B348E65-745E-4243-A912-ACFA58DF7528
Q460720,Lyne Bessette,Q138345,Liberal Party of Canada,Q2926009,Brome—Missisquoi,2019-10-21,2021-09-19,Q460720-072e4a54-f2c8-4ac1-bc89-1fd03600e5ad
Q4679921,Adam Vaughan,Q138345,Liberal Party of Canada,Q16976871,Spadina—Fort York,,,Q4679921-727263A8-39E8-4917-8FA2-D560E20E74D9
Q4726162,Alice Wong,Q488523,Conservative Party of Canada,Q3431468,Richmond Centre,,,Q4726162-066C0AF3-46D7-442A-B603-D1B3760CC548
Q4772746,Anthony Housefather,Q138345,Liberal Party of Canada,Q3321616,Mount Royal,,,Q4772746-339B5612-780E-4CF2-AA34-CF9253A8D513
Q4908168,Bill Blair,Q138345,Liberal Party of Canada,Q3475165,Scarborough Southwest,,,Q4908168-53F99684-F173-4413-9C23-A25298B8E1CF
Q4931915,Bob Bratina,Q138345,Liberal Party of Canada,Q3126448,Hamilton East—Stoney Creek,,,Q4931915-943DCCDA-F87F-4A54-BB00-FE2865BF8FE2
Q4934493,Bob Zimmer,Q488523,Conservative Party of Canada,Q3403325,Prince George—Peace River—Northern Rockies,,,Q4934493-F348CA69-271E-4AB5-B430-9BB411859238
Q4935396,Bobby Morrissey,Q138345,Liberal Party of Canada,Q3049209,Egmont,,,Q4935396-3B267076-8BB1-4BA7-9D04-4C44B409445A
Q5108569,Chris d'Entremont,Q488523,Conservative Party of Canada,Q3345310,West Nova,,,Q5108569-39D63EA2-295E-43D1-A9CB-978E9E3D3584
Q5170456,Corey Tochor,Q488523,Conservative Party of Canada,Q16979773,Saskatoon—University,,,Q5170456-78B3DF14-71D3-40A0-8D3E-A3F082EF9B9C
Q5214525,Dan Vandal,Q138345,Liberal Party of Canada,Q16983980,Saint Boniface—Saint Vital,,,Q5214525-2A45AFBE-70BE-4822-A77E-709D51A48256
Q529968,Brian Masse,Q130765,New Democratic Party,Q3569303,Windsor West,,,Q529968-25814D6C-2501-4C20-85F0-BFE3602F81CE
Q55127770,Marty Morantz,Q488523,Conservative Party of Canada,Q2960785,Charleswood—St. James—Assiniboia—Headingley,,,Q55127770-49C48D04-4FEB-4576-A994-E01FDCD5F1AB
Q5703595,Helena Jaczek,Q138345,Liberal Party of Canada,Q16977352,Markham—Stouffville,,,Q5703595-5ACDB0FE-2C99-4053-98DF-2D8B09767B4C
Q6112959,Jack Harris,Q130765,New Democratic Party,Q3495268,St. John's East,,,Q6112959-D26BE971-FBD8-445F-91DE-0ED063945BBF
Q6122681,Jagmeet Singh,Q130765,New Democratic Party,Q16966970,Burnaby South,2019-03-17,,Q6122681-56c8459c-4241-b49f-79dc-0896f3daa0b2
Q6179373,Jenny Kwan,Q130765,New Democratic Party,Q958124,Vancouver East,,,Q6179373-F5CE28BC-0030-4E15-9882-5930F5510792
Q61881929,Scot Davidson,Q488523,Conservative Party of Canada,Q3572619,York—Simcoe,2019-02-25,,Q61881929-84b1b021-4d26-bded-f1be-d9c44ca23a7d
Q61881930,Rachel Bendayan,Q138345,Liberal Party of Canada,Q3358662,Outremont,,,Q61881930-CE9FB0EB-C662-428D-B6B4-4CA78306098A
Q6194065,Jim Carr,Q138345,Liberal Party of Canada,Q3569366,Winnipeg South Centre,,,Q6194065-CEFA13CE-7644-49F6-8966-0B195AF3FA46
Q62940707,Irek Kusmierczyk,Q138345,Liberal Party of Canada,Q3569307,Windsor—Tecumseh,,,Q62940707-33D4086A-936B-4F36-AE6C-D86CCACE3EE1
Q63565674,Paul Manly,Q691730,Green Party of Canada,Q16979413,Nanaimo—Ladysmith,,,Q63565674-F2407EC2-7114-40D8-BA9A-68F57D5C953F
Q6369875,Karen McCrimmon,Q138345,Liberal Party of Canada,Q17088451,Kanata—Carleton,,,Q6369875-CA02C454-0F82-4C9C-B6E5-58E1A3E6C691
Q6385949,Kelly Block,Q488523,Conservative Party of Canada,Q16985258,Carlton Trail—Eagle Creek,,,Q6385949-D66D8802-9E73-451B-9F0D-2C6F9BD32EDA
Q6451430,Kyle Seeback,Q488523,Conservative Party of Canada,Q602263,Dufferin—Caledon,,,Q6451430-38234311-B499-4501-82FC-13E9F916745E
Q6490735,Larry Maguire,Q488523,Conservative Party of Canada,Q2923794,Brandon—Souris,,,Q6490735-185A9B1C-080B-412E-A38A-0BC062124C21
Q6522015,Len Webber,Q488523,Conservative Party of Canada,Q16850460,Calgary Confederation,,,Q6522015-A6570600-E200-414A-862D-1AF2E8FFCA85
Q67442310,Anita Anand,Q138345,Liberal Party of Canada,Q14875369,Oakville,,,Q67442310-A1A91EB9-7D11-441A-A228-97D59BCEEAB2
Q6755491,Marc Dalton,Q488523,Conservative Party of Canada,Q16979770,Pitt Meadows—Maple Ridge,,,Q6755491-545BBBD2-07BB-45E0-B41A-871D7C395167
Q6757065,Marci Ien,Q138345,Liberal Party of Canada,Q921653,Toronto Centre,2020-10-26,,Q6757065-B1FE880C-9D38-4CEB-814A-A3B39B00CEB0
Q6788847,Matt Jeneroux,Q488523,Conservative Party of Canada,Q16966795,Edmonton Riverbend,,,Q6788847-CA49C534-08C7-4B4C-9185-837539173CCC
Q6832752,Michael McLeod,Q138345,Liberal Party of Canada,Q606515,Northwest Territories,,,Q6832752-70E43072-9112-4DA7-BFBC-DDD15FF7D985
Q703321,Marc Garneau,Q138345,Liberal Party of Canada,Q17044892,Notre-Dame-de-Grâce—Westmount,,,Q703321-F0015EFD-F004-48E7-BEFE-3514A7C31E62
Q7174026,Peter Fonseca,Q138345,Liberal Party of Canada,Q3316906,Mississauga East—Cooksville,,,Q7174026-13710BD8-DA84-4202-8ED6-9BE820D79987
Q7182163,Phil McColeman,Q488523,Conservative Party of Canada,Q2923856,Brantford—Brant,,,Q7182163-67D743D6-360F-44E2-B1EC-446CF62AB480
Q71894607,Richard Bragdon,Q488523,Conservative Party of Canada,Q614586,Tobique—Mactaquac,,,Q71894607-C6D8A5CB-AF4C-4D46-ABA7-6CB1A7949423
Q71912401,Scott Aitchison,Q488523,Conservative Party of Canada,Q3366038,Parry Sound—Muskoka,,,Q71912401-3D533EF6-ECA6-4F57-8C79-A7647587664A
Q71920812,Dan Mazier,Q488523,Conservative Party of Canada,Q16959462,Dauphin—Swan River—Neepawa,,,Q71920812-AB555DE4-CA10-44B2-A87F-AC5E25025CE7
Q71920836,Gary Vidal,Q488523,Conservative Party of Canada,Q3024533,Desnethé—Missinippi—Churchill River,,,Q71920836-3B303566-CBBC-46A0-8931-AE81A2D5F4B5
Q71920855,Heather McPherson,Q130765,New Democratic Party,Q3048071,Edmonton Strathcona,2019-10-21,,Q71920855-0f954372-49ec-32e7-e538-edaa7ad07d9d
Q71920882,Jeremy Patzer,Q488523,Conservative Party of Canada,Q3008864,Cypress Hills—Grasslands,,,Q71920882-53950858-A93A-4B29-BF68-9F652B63A3E3
Q71920891,Jag Sahota,Q488523,Conservative Party of Canada,Q16850507,Calgary Skyview,,,Q71920891-5B07E3AC-DAC3-468E-8789-3AF587C99347
Q71920912,Damien Kurek,Q488523,Conservative Party of Canada,Q16950705,Battle River—Crowfoot,,,Q71920912-B8BDCC27-BB19-43E0-8F2B-2A0303E3D715
Q71920931,Greg McLean,Q488523,Conservative Party of Canada,Q2933894,Calgary Centre,,,Q71920931-268274FB-415A-4F8A-ACF7-441002711A91
Q71920975,Richard Lehoux,Q488523,Conservative Party of Canada,Q2893126,Beauce,2019-10-21,,Q71920975-9b8156fd-4bda-d567-5940-21947210fdeb
Q71921009,Jenica Atwin,Q691730,Green Party of Canada,Q3087204,Fredericton,2019-10-21,2021-06-10,Q71921009-503311EC-0544-4557-818E-7088DF12D083
Q71921009,Jenica Atwin,Q138345,Liberal Party of Canada,Q3087204,Fredericton,2021-06-10,,Q71921009-7D6534FE-AF79-4D6A-A633-24258335C3FE
Q71921024,Jasraj Hallan,Q488523,Conservative Party of Canada,Q16850464,Calgary Forest Lawn,,,Q71921024-105D8477-B749-427F-8319-DC535FCAFD94
Q71929780,Ryan Turnbull,Q138345,Liberal Party of Canada,Q16967060,Whitby,2019-10-21,,Q71929780-65f859d9-4f40-96d0-4442-344764bfef80
Q71929797,Marcus Powlowski,Q138345,Liberal Party of Canada,Q3526042,Thunder Bay—Rainy River,2019-10-21,,Q71929797-c145d421-46e6-6b02-9eea-0b393bc09401
Q71929849,Derek Sloan,Q488523,Conservative Party of Canada,Q16979735,Hastings—Lennox and Addington,2019-10-21,2021-01-20,Q71929849-8f7db218-4233-c528-1c32-1331878b795a
Q71929849,Derek Sloan,Q327591,independent politician,Q16979735,Hastings—Lennox and Addington,2021-01-20,,Q71929849-0F35FA70-0A8E-445C-9F6F-3AC67C1BCCF4
Q71929868,Tony Baldinelli,Q488523,Conservative Party of Canada,Q3339434,Niagara Falls,,,Q71929868-B77BA74B-DCB6-415C-8DA1-31E7288FC0CE
Q71929888,Terry Dowdall,Q488523,Conservative Party of Canada,Q3484122,Simcoe—Grey,,,Q71929888-F7606DEE-AEFC-4797-B8A0-1C426C2B910A
Q71929907,Alex Ruff,Q488523,Conservative Party of Canada,Q2926493,Bruce—Grey—Owen Sound,,,Q71929907-4FCC9439-6891-499B-84F8-B8B4474956C2
Q71929935,Dave Epp,Q488523,Conservative Party of Canada,Q16961184,Chatham-Kent—Leamington,,,Q71929935-69630055-0C1B-4107-8985-3FB0F1A00F32
Q71929954,Doug Shipley,Q488523,Conservative Party of Canada,Q16950439,Barrie—Springwater—Oro-Medonte,,,Q71929954-DD9E8F0B-AA35-4155-ADFE-E8FD6E4BCCC2
Q71929973,Kody Blois,Q138345,Liberal Party of Canada,Q3197141,Kings—Hants,,,Q71929973-AC22C109-14FB-4992-899A-DDD4272BEBA7
Q71930000,Mike Kelloway,Q138345,Liberal Party of Canada,Q2937241,Cape Breton—Canso,,,Q71930000-0163FAFF-14C1-4EE6-9339-7E5044EE97B4
Q71930019,Lianne Rood,Q488523,Conservative Party of Canada,Q3216699,Lambton—Kent—Middlesex,,,Q71930019-A35F42DE-14C2-44B9-8C22-36AD8F428DED
Q71936954,Rob Morrison,Q488523,Conservative Party of Canada,Q3198835,Kootenay—Columbia,,,Q71936954-E2B09CBF-09E3-44E3-BBA6-11DC3E7CEF28
Q71936974,Tracy Gray,Q488523,Conservative Party of Canada,Q3194929,Kelowna—Lake Country,,,Q71936974-22E7F529-6645-4857-8772-059C8BC0EA5F
Q71936984,Patrick Weiler,Q138345,Liberal Party of Canada,Q3567450,West Vancouver—Sunshine Coast—Sea to Sky Country,,,Q71936984-74E94DE1-69F4-4D81-95F7-FF13A38565F6
Q71936991,Raquel Dancho,Q488523,Conservative Party of Canada,Q3196587,Kildonan—St. Paul,,,Q71936991-70267A7F-BF0D-43A8-BB28-FDD849667924
Q71936994,Taylor Bachrach,Q130765,New Democratic Party,Q3486212,Skeena—Bulkley Valley,2019-10-21,,Q71936994-7f276bb2-4f41-043f-97a2-d6ac58a5022c
Q71937003,Kenny Chiu,Q488523,Conservative Party of Canada,Q16999753,Steveston—Richmond East,,,Q71937003-DBDD2EC5-4B45-4F0C-8BC6-8E5293A2F999
Q71937024,Leah Gazan,Q130765,New Democratic Party,Q3569365,Winnipeg Centre,,,Q71937024-B31C012D-9F30-4923-B552-EF778EBF0802
Q71937029,Brad Redekopp,Q488523,Conservative Party of Canada,Q3473801,Saskatoon West,,,Q71937029-11E735C1-C40A-45D9-AD86-F1CC789D2F34
Q71937041,Eric Melillo,Q488523,Conservative Party of Canada,Q3195247,Kenora,,,Q71937041-7114C58B-ABAC-47FA-BFC7-88EF63DAE87E
Q71937055,Eric Duncan,Q488523,Conservative Party of Canada,Q3499856,Stormont—Dundas—South Glengarry,,,Q71937055-04FFBEF1-F2A0-4E7C-9758-CDF0BBF39541
Q71942357,Lindsay Mathyssen,Q130765,New Democratic Party,Q3258986,London—Fanshawe,2019-10-21,,Q71942357-33dfb4e3-46c1-0c35-f290-faf486df7b61
Q71942375,Tamara Jansen,Q488523,Conservative Party of Canada,Q16949372,Cloverdale—Langley City,,,Q71942375-63D75DCF-24FF-4ABA-8B8C-4CDB935E1C01
Q71942395,Brad Vis,Q488523,Conservative Party of Canada,Q16999752,Mission—Matsqui—Fraser Canyon,,,Q71942395-2972C7C5-AF9C-42B7-9CB6-EE24BDED3A6D
Q71942460,Laurel Collins,Q130765,New Democratic Party,Q3557672,Victoria,,,Q71942460-E27E68E3-A2C9-42A5-A525-9304BD7C7D22
Q71942473,Maninder Sidhu,Q138345,Liberal Party of Canada,Q16953382,Brampton East,,,Q71942473-A1BC8E14-E845-4D8D-A0EA-4388CB30D8D5
Q71942614,Mumilaaq Qaqqaq,Q130765,New Democratic Party,Q584337,Nunavut,2019-10-21,,Q71942614-ea0871e9-ae87-4ae6-a5ee-e2d35d22cfde
Q71948152,Nelly Shin,Q488523,Conservative Party of Canada,Q3398378,Port Moody—Coquitlam,,,Q71948152-A288BAB8-E0A1-4E50-9331-83B17DE41C6A
Q71973951,Kristina Michaud,Q735105,Bloc Québécois,Q16836105,Avignon—La Mitis—Matane—Matapédia,2019-10-21,,Q71973951-0bbdeb3c-4efc-6766-1bd9-6369f03d0543
Q71991319,Julie Vignola,Q735105,Bloc Québécois,Q2893257,Beauport—Limoilou,2019-10-21,,Q71991319-9a4da408-4826-3bd2-7435-41ce1b13da9c
Q72012003,Sameer Zuberi,Q138345,Liberal Party of Canada,Q600123,Pierrefonds—Dollard,2019-10-21,,Q72012003-04bb9069-4dee-fb14-0a2e-5ef7f050c439
Q72012015,Soraya Martinez Ferrada,Q138345,Liberal Party of Canada,Q3138926,Hochelaga,2019-10-21,,Q72012015-6dd76377-4049-6de7-2ec4-e3fa15a50787
Q72012050,Annie Koutrakis,Q138345,Liberal Party of Canada,Q16978570,Vimy,2019-10-21,,Q72012050-dc2d01b8-45cd-e8d6-b12f-396b02480ac3
Q72012105,Élisabeth Brière,Q138345,Liberal Party of Canada,Q3481910,Sherbrooke,2019-10-21,,Q72012105-9bd57a86-4027-cafe-1582-be4574a4192e
Q72012161,Andréanne Larouche,Q735105,Bloc Québécois,Q3481722,Shefford,2019-10-21,,Q72012161-b4235b90-4d24-0db5-b1e7-191734571d7f
Q72091608,Caroline Desbiens,Q735105,Bloc Québécois,Q528161,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,2019-10-21,,Q72091608-71075d39-4d11-5c74-2f9d-731b08770f2c
Q72093411,Sylvie Bérubé,Q735105,Bloc Québécois,Q2821651,Abitibi—Baie-James—Nunavik—Eeyou,2019-10-21,,Q72093411-b040fed6-4203-c305-084e-d1461489ff62
Q72177965,Sébastien Lemire,Q735105,Bloc Québécois,Q2821652,Abitibi—Témiscamingue,2019-10-21,,Q72177965-29f5f46f-47fc-f7ef-33cf-c9325b6c5b51
Q72194331,Alexis Brunelle-Duceppe,Q735105,Bloc Québécois,Q3214650,Lac-Saint-Jean,2019-10-21,,Q72194331-dc6170c4-4931-6dde-70bf-401eb04bd35e
Q72219274,Christine Normandin,Q735105,Bloc Québécois,Q3462577,Saint-Jean,2019-10-21,,Q72219274-4943ff9f-46ac-56eb-200d-057d2bc1efe5
Q72219314,Gerald Soroka,Q488523,Conservative Party of Canada,Q3572142,Yellowhead,,,Q72219314-83590978-5E34-48E4-AD4C-B792485CFAC4
Q72219386,Luc Desilets,Q735105,Bloc Québécois,Q3433602,Rivière-des-Mille-Îles,2019-10-21,,Q72219386-64b10119-4c3a-0910-bb5f-b700b7574876
Q72219402,Mario Simard,Q735105,Bloc Québécois,Q3183620,Jonquière,2019-10-21,,Q72219402-7cd23b8f-48a2-3db2-4930-2f8f7ed4232b
Q72219413,Martin Champoux,Q735105,Bloc Québécois,Q3040119,Drummond,2019-10-21,,Q72219413-5bdafc68-4a2a-c9b2-c050-e120a724c708
Q72219417,Maxime Blanchette-Joncas,Q735105,Bloc Québécois,Q3432128,Rimouski-Neigette—Témiscouata—Les Basques,2019-10-21,,Q72219417-88bdc5ea-4b51-6f34-b0d0-13baeb129fe3
Q72219423,Michael Kram,Q488523,Conservative Party of Canada,Q3423526,Regina—Wascana,,,Q72219423-2E2BE874-29F9-4D7A-AB34-B023627E5DDA
Q72219699,Louise Charbonneau,Q735105,Bloc Québécois,Q3539914,Trois-Rivières,2019-10-21,,Q72219699-a2ff3a6a-4ec7-876a-bceb-a791a8152753
Q72219707,Marie-Hélène Gaudreau,Q735105,Bloc Québécois,Q3219613,Laurentides—Labelle,2019-10-21,,Q72219707-63ac66f9-4cc9-25f7-7520-6c6f3fef4b24
Q72219741,Yves Perron,Q735105,Bloc Québécois,Q2899323,Berthier—Maskinongé,2019-10-21,,Q72219741-d3cc1cad-4e00-1324-ed7b-0e60b51fdf6d
Q7292236,Randy Hoback,Q488523,Conservative Party of Canada,Q3403304,Prince Albert,,,Q7292236-39DC44A1-EBEC-4AE8-83E0-3B86BA85A35B
Q73210893,Tim Louis,Q138345,Liberal Party of Canada,Q3197577,Kitchener—Conestoga,,,Q73210893-07C26116-8D6B-4B40-B2FC-7D4C4C4FA696
Q7340436,Rob Oliphant,Q138345,Liberal Party of Canada,Q3035926,Don Valley West,,,Q7340436-044B8535-25EE-4E96-89F9-730C65A20CFD
